mensagem;sentimento
Bem vindos a competição culinária mais importante do mundo, bem vindos ao   💙;neutro
- Comece a mudar sua forma de cozinhar Porque a Tailandia eh mt longe daqui- A Italia tb eh mt longe daquiYUKO DEBOCHADAAAAAAA ;neutro
- Eu ouvi cenoura? -NÃÃÃO ;neutro
- ganhamos mais uma semana pra torcer pra Mirian se dar mal ;positivo
 Homem que é homem não lava louça Q? Alguém avisa esse animal, q pra lavar a louça se usa as mãos e não a VAGINA. E mão ele tem! ;negativo
- O @ terminou cmg- serio? E como cê tá?- To livre! (😂😍😓😢) KK CLARAMENTE EU, ESSA DAE ;positivo
- Porque a Tailândia fica muito longe Daqui. - A ITÁLIA TAMBÉM.EU AMO A YUKO ;positivo
#édecasa podia falar sobre divisão de tarefas em casa ao invés de mostrar uma mulher que se desdobra em mil como se isso fosse bonito. Oo;negativo
#ÉDeCasaSaudade do meu canino Toffe;negativo
Catioro mais bonito do que o outro.;positivo
#ÉOTchanAdoroooo!!🎶🎤🎧;positivo
   bora que tem pra hoje ..;neutro
   PROGRAMA 1000         MARAVILHOSO. ..;positivo
  a mãe do serginho linda 💕;positivo
  É o Tchan muitoooo bom;positivo
 - Não é tão somente um programa  É UMA VIAGEM;positivo
 ... Feliz dia das mães!!!Amei o teu bb..Serginhooooooo!!!;positivo
 @Chacara em Atibaia;neutro
 @MariaHe17601151 tudo de bom 😉😉;positivo
" @oserginho Convide Eriberto Leão p/cantar""Hurricane-Furacão) p/que eu possa participar de convidado na platéia que será o melhor";positivo
 a Sophia Abrahão é linda e a cara da Cláudia Raia;positivo
 é o cara de preto que baixou a Carla Perez? Tô rindo muito;neutro
 É o tchan kkkk dancei todas, bons tempos.;positivo
 adorando o menino dançando as músicas;positivo
 adorrooooooo Vanessa da mata , Lais Sousa !;positivo
 Alguém notou que a Anita estava dublando?;neutro
 amo o programa vcs são foda !!  Sou de curitiba ... amo a Sophia vc é linda 💙😍💙;positivo
 assistindo o programa com uma cx de lenços ao lado! Haja❤😢;negativo
 bela Gil rainha dos memes desde quando? Preta grethchen e Inês pisam;negativo
 Bela Gil tem o carisma de um pão de chia com patê de chuchu.;negativo
 Caraca, 84 primos legítimos. E eu achando q tava abafando com quase 30 ou 30 ou mais de 30... nem sei mais, parei de contar;neutro
 Difícil se conter após a linda homenagem a mãe dele 😢Chateado com vc por ter me feito desmoronar 😭😭;negativo
 EITA PROGRAMA BOM GENTE VEM;positivo
 em casa em pleno sábado;negativo
 Essa Sophia Abrahão e ela é muito dez é uma atriz maravilhosa e muito simpática.;positivo
 Estou chorando muito 😭;negativo
 falando sobre cabelo: tenho cabelo cacheado e aliso desde os 16 (tenho 26) Porquep que preguiça que eu tenho de cuidar do cabelo;neutro
 filho do Serginho podia ser animador de plateia do Altas Horas, a criança humilhou esse público parado. Arrasou, Thomas;neutro
 filho do Serginho sempre enérgico, lindinho ele;positivo
 Gente, se você está em uma festa e toca as músicas do É o Tchan, todo mundo dança freneticamente e nem precisa estar alcoolizado;positivo
 gosto mt da Vanessa da Mata e gosto mt das orações dela aqui no Twitter.;positivo
 hj está essa pessoa que eu aprendi a amar graças ao vídeo show @sophiaabrahao ❤❤❤❤;positivo
 hoje thais petacular!!!;positivo
 incrivel com Vanessa da Mata e ao mesmo tempo retro com É o Tcham uó kkk;positivo
 Medo dessa filha da Vanessa 😫😫😫;negativo
 mesmo deitada estou me acabando com É o Tchan! Adorooooo💃💃💃😍;positivo
 minha mãe está demaisi falando dormindo enquanto eu danço É o Tchan na sala;neutro
 n sabia q a Vanessa tem filho e agora fico sabendo q ela têm três e o mais velho q mora na Espanha é bem interessante ele;positivo
 O cara das coreografias está demaisrecendo mais que o Compadre Washigton e o Beto Jamaica! Kkkkk;neutro
 O Filho do Seginho gritando. :];positivo
 o moço de preto merece um show do É O Tchan só p ele, o restante da plateia pode ir embora;positivo
 o programa está demais legal hj!!;positivo
 programa maravilhoso! Emoção na TV de alta qualidade;positivo
 quero o Thomás pra mim 💕;positivo
 se essa plateia n se anima com É O Tchan é Porque é td cotado;negativo
 Serginho que Deus abençoe você e toda sua família. Seu programa é nota dez. Parabéns aos convidados. Feliz dias das mães.;positivo
 SUCESSO com atrações da Bahia e homenageando o dia das mães;positivo
 está demaisw hoje;positivo
 tem q mastigar 30 vezes, gente. Será q os chicletes tb?;neutro
 tinha um conjuntin listrado q as meninas do É O Tchan usavam e eu tinha tb. Um azul e um laranja e queria usar até p ir p escola;neutro
 to amando o programa de hoje!! :);positivo
 Tomas é um fofo mesmo!!!! Parabens! Criança feliz;positivo
 Voto no Marco Luque pra sair da casa.;neutro
, alguém pode me explicar qual a diferença de Bela Gil e Belo? Confusa kkkk!;negativo
, programa que todos deveriam assistir... Informações, entre outras mais...;positivo
.  Feliz Dia pra todas nós,  mulheres!;neutro
.  Laís e eu. Determinadas. Eu, com as fortes sequelas de um AVC.  Ela, com a situação  dela;neutro
Gostei do irmão da Lais.;positivo
Lais.....vc está linda menina.....e o futuro te reserva muita coisa. Não duvido que recupere boa parte de seus movimentos.;positivo
O Marco Luque é sensacional, tem um timing muito bom . Além de ser uma pessoa do bem. Sucesso cara!!!;positivo
O Marco Luque é um ser humano muito legal......sugestão inclua um político no repertório de personagens.;positivo
Vc é uma menina muito doce. E com as novas tecnologias vc vai com certeza fazer muitos progressos..Ah se eu fosse mais jovem. Bj;positivo
#AAna Mariabraga o que houve com o cabelo? E a roupa? E os olhos? Gasparzinho?E o que ela falou do molho? Pirou?;negativo
#APraçaéNossa30anos  foda demais;positivo
#Bial para todos e #Pedro para os íntimos!! Berrooooooo...... Morrroooooo... ;positivo
#Bial: eu fiz meu dever de casa direitinho....  ADOROOO #bemassim;positivo
#BoletimDeSegunda o @murilocouto mostrando o fã clube do Lula. Berrooooooooo! 😂  Danilo @SBTonline.;positivo
O machismo se estende até dentro das prisões"" .";neutro
  acho que esse Ronaldo queria ser influenciador digital hein !?! Pena que ele é chato 😂😂😂;negativo
  Bial como sempre dando show;positivo
  com todo respeito mas esse Fábio de Melo é muito gato;positivo
  Começou  #MaiaraeMaraisaNoBial 😍😍😍;positivo
  Dr Dráuzio Varela pena q não falaram sobre a aposentadoria especial dos agentes penitenciários poderiam opinar.;negativo
  entrevista com padre Fábio sensacional!!!;positivo
  Padre Fábio cantando trem bala é simplesmente fantástico ,Mais uma vez obrigada @PBiaL  por um programa maravilhoso !;positivo
 - respeito ao samba @zecapagodinho 👏🏿👏🏿👏🏿👏🏿;positivo
  trabalho c presos é uma experiência única e rica em conhecimento das características do ser humano como indivíduo.;positivo
 !!! Sensacional! Programas como #CQC #JO  #SaiBaixo #CassetaPlaneta #EscolinhaRaimundo #EmPauta não podem acabar;positivo
 #MaiaraeMaraisaNoBial adorooooooooooo vai começar;positivo
 @PEFABI0DEMELO  vc é mt foda.Obg Deus por criar esse ser humano e fazer dl brasileiro e ainda famoso p levar Sua palavra.;positivo
Fábio de Melo cantando trem bala 🙌🏽😍🙏🏽🔝;positivo
Fábio de Melo Dizendo: ""Eu não... Cada um que expulse o diabo que criou"" Morri hahahahaha. Essa foi bem nova.";positivo
Fábio de Melo tem razão que a vaidade regrada passa positividade.;neutro
ai q bonito Maiara e Maraísa cantando Elis 💕;positivo
arrasando muito nos assuntos religiosos.;positivo
bandido precisa de motivo pra se organizar? Ele fala como se a origem do PCC fosse científica.;negativo
Bem que podiam sacar uma novela pra botar esse programa...;positivo
cadê a rashtag na tela do programa???;negativo
 com as lindas @MaiaraeMaraisa  altas risadas! ❤ Parabéns,meninas!😘;positivo
 com o Padre Fabio de Melo 👏🏽👏🏽😃🙏🏽  Fábio de Melo;neutro
 com um assunto muito interessante e importante: ansiedade.;neutro
 começou bem com Carmen Lúcia e Rodrigo Santoro... depois começa a decadência e qualquer #@$!!! é chamada... #GShow #Globo;negativo
 e por isso que eu gosto do padre Fábio de Melo ele sabe disse tudo ele sabe o que faz  e o que fala;positivo
 Enfim um entrevistador que permite que o entrevistado fale. Bial faz uma dinâmica  e brilhante condução. Bate papo gostoso😊;positivo
 entrevistou o Lauro Jardim - alguém falou com este homem!! Finalmente!;positivo
 escritora entendeu errado. A mulher falou que o marido trabalhava com ASFALTO. Sou de Fortaleza também.;negativo
 esperando Bial falar de Velho Chico Porque ne;neutro
 está levando Rodrigo Santoro enquanto o  chama Dudu Nobre? Não dá...;neutro
 Estou amando está conversa com Dr Drauzio;positivo
 Eu não sei pra onde vou, mas sei que não vou por aí... Estou indo.Fábio de Melo amooo!!!;positivo
 Excelente o programa de hoje, com Rodrigo Santoro❤;positivo
 falando sobre a minha vida inteira com esse tema. Era para ter me chamado.;neutro
 gosto muito das palestras do Augusto Cury;positivo
 gravado, porém, no calor da hora.;negativo
 hj falando de samba ❤ assunto leve e gostoso p terminar o dia;positivo
 hj ta demais;positivo
 hoje é com Pe. Fábio de Melo. Bora perder não gente!!!Fábio de Melo @conversacbial;positivo
 hoje com Augusto Cury falando de Ansiedade! Pera, que isso eu domino!;negativo
 hoje está bem interessante 👌🏻👌🏻👌🏻;positivo
 HOJE VAI SER BOM COM MAIARA &amp MARAISA... ASSISTIREI. 👀👀👀;positivo
 já começou bem!;positivo
 maiara e maraisa ❤️;positivo
 Música unissex? Vala....;negativo
 muito boa hoje com Rodrigo Santoro! ❤️👏🏻;positivo
 o cara brigou na rua por causa de futebol e ficou apresentando BBB por aos e quer dar uma intelectual!  Fala sério!;negativo
 O crime é mais organizado que a sociedade convencional;neutro
 o talkShow q te faz pensar sobre assuntos polêmicos!;positivo
 ou seja,  todo mundo tem que pensar na criança gerada por uma bandida,  exceto a própria mãe.  Inacreditável!;negativo
 Padre Fábio, arrebenta nas palavras.;positivo
 poderia interagir com o público! #UmaIdeia #SóAcho;negativo
 que entrevista bacana Fábio de Melo obrigada😘;positivo
 que presente ver o Fábio de Melo cantando essa música...Linda demais;positivo
 Santoro é inteligente , determinado ,talentoso  admiro demais esse ator @RedeGlobo;positivo
 Se Pe.Fábio tem atitudes diabólicas, imagines eu! #VidaSufrida 😞😞;negativo
 show de bola, parabéns;positivo
 surpreendendo na audiência indo excelentemente bem!;positivo
 termino primeiro que  😱😱;neutro
 um programa melhor que o outro,Dr @drauziovarella  dando um show, parabéns @PBiaL  por sempre deixar seus convidados falar!;positivo
 vou te dizer que esse cara foi MT inteligente,  dono de uma carreira incrível. .;positivo
Oba, hoje vai ter a grande sabedoria do doutor Dráuzio, não vou perder 😀;positivo
Muito bom!!;positivo
O filho de Rodrigo Santoro e Mel além de lindo vai ser um ser humano incrível, cheio de beleza e conteúdo.";positivo
#DiaDasMães é um tema que deixa todo mundo com os olhos marejados! É lindo ver a emoção nos olhos dos apresentadores do  !;positivo
  time verde uhuu;positivo
 agente gosta de emoçao, mas domingo é chato, se o programa ja começa engraçado ajuda. Celson e bom, falta um assistente maluco;negativo
 ah, esqueci fora Themer. Como diz Carlinho Maia, ta na moda kkkkkk;neutro
 Ai esse Gustavo ❤❤;positivo
 Estou torcendo para quem ganharAmo carinha de anjo e sempre amarei;positivo
 Faliz dia das mães;neutro
 Faltou a Lucero aí 😢;negativo
 mãe falsa. se tinha como matar ele ñ é tão coitada. Desnaturada;negativo
 nao faz,isso😭😭❤❤ que clipe;negativo
 no ar, divertidíssimo com a #BatalhaNaval com a elenco da novela #CarinhadeAnjo 😍💞🔝 gente ligaa ai no @SBTonline.;positivo
 quem  ganha Time roxoTime verde;positivo
 quem devaria estar comandando esse time roxo?;neutro
 sao sebastiao do paraiso MG! Cidade pertinho de franca onde eu moro;neutro
 Ta hora o programa hj Feliz dias Mães as princesas estao todas lindah 3;positivo
 vai time verde!;positivo
 vai tive verde;neutro
  o que tem nas rolhas vida geladeira?;neutro
 Aaaamo a expontaneidade do Andre Marques!!!! kkkk Ele é show!!!!;positivo
 André Marques assustando a Cissa ao vivo aiahaiuaua.. bem engraçado;positivo
 bom dia Carlos JrSão Luís MA;neutro
 Cissa tremendo até 2030 segurando a cena no carão kkkk;positivo
 Coloca pedra na ração para o cachorro 🐶 come devagar? Cachorra daqui come ração, pedra e se achar q estou enganando me come também!;negativo
 como eu Amo esse Programa 💙;positivo
 Falar Sobre Mae 💓😍 tema Bom Demais;positivo
 feliz dias das mãe beijos mãe ❤ &amp#55357 ❤ ❤;positivo
 hoje tem é de casa ,, quem sabe um dia tenha todos os dias rsss;negativo
 Isso aí. Tem de lavar as mãos antes de comer.;positivo
 minha esposa está de jejum no consultório e está enlouquecendo vendo essa receita...;negativo
 minha mäe faleceu fas 6 meses minha mäe  era uma pessoa muito dificiol   ñ consiguia entende ela;negativo
 nossa !!!!;neutro
 Ooooh menino vai ralar os dedosss kkkkk;neutro
 Passando só para afirmar uma coisa pense em um programa ruim e com apresentadores chatos!! Vou voltar para o SBT Patati e Patatá.;negativo
 sensacional esse programa de hoje.;positivo
O programa  está demais bjs vevete. Um abraço  em Saulo  de Salvador;positivo
Coisa chata esse programa gente;negativo
  @nando_reis amo,maravilhoso;positivo
  Claudia gimenes está a cara da.Dilma;neutro
  Hoje o programa está demais lady Sandy;positivo
  para  essas cantoras sertanejas bregas de hoje em dia que dizem que não existia dupla sertaneja feminas antes viva #IrmasGalvao;negativo
  Preto na física significa ausência de cores, matéria. Na biologia são pigmentados de melanina adaptados p/ambiente quente e seco.;neutro
  Sigam o casal campeão do Power Couple da Record  @casalkamikaze Casal Poderoso!;positivo
  tenho 44 anos e uso roupas curtas e decotes.#adorochegachoro;neutro
  Xande,  bom de samba.Uhhhhhh!  👏👏👏👏👏;positivo
eu acho lindo hashtag. "" Ahhahahahauaa";positivo
o que você tem de mais segreto no seu celular"" - meus nudes kkkkkkkkkkk";neutro
Tem uma coisa que deve dá muito peido"" kkkkkkkkk ""vou internar minha irmã"" kkkk irmãs Galvão kkkk";neutro
 #Pasquale sendo um grande mestre. Nao falou nada pra agradar a pauta. Grande Pasquale;positivo
#SandyLeah ❤️ desde que me entendo por gente amo vc, ""sou jovem para ser velha e velha para ser jovem""";positivo
 #SandyNoEncontro  que vestido lindo e esse.;positivo
 @brauliobessa é muito massa. Que poesia linda, cara! #PoesiaComRapadura;positivo
 @fbbreal A Laura se parece mais contigo q a Beatriz 😉;positivo
 @fbbreal causando emoção em plena sexta-feira chuvosa... Chorando junto com o Cb Theodoro @gshow @TiagoLeifert @EncontroFatima;negativo
 70 anos só de carreira. É muito talento. É muita história 😍😍😍😍😍😍😍😍😍😍😍😍;positivo
 A corrupção começa dentro de casa. E para mudar o Brasil não adianta ir as ruas, temos que mudar no dia a dia com o próximo.;negativo
 A corrupção está espalhada pelo mundo realmente. Mas daí comparar a nossa corrupção com a do povo japonês já é demais né? #ainao;negativo
 a difference entre preto e negro ..;neutro
 a Fátima falou muito bem sobre o treinamento que os policiais precisam ter durante sua carreira.;positivo
 A irmã Galvao lacrando kkkkk;positivo
 A música romântica iluminou os rostos de todos no programa da Fárima nesta manhã.;positivo
 a mulher pode tudo;positivo
 A Tie literalmente me representado todos os dias quando me arrumo pra sair, não estou descabelada apenas tenho estilo.;positivo
 é show!;positivo
 ACHO QUE EU AMEI MESMO DISTANTE! Que lindo Nando Reis...;positivo
 Acho que quando é dito em relação a preta/preto, o negro não tem que se sentir ofendido, pois ele não é preto ele é negro.;neutro
 adorei a participação da Fátima no ;positivo
 Ainda existem os bons policiais;positivo
 Alho é vida não pode morrer 😍😍;positivo
 beijo é troca de carinho, beijo meu marido em qualquer lugar, é só estar com vontade;neutro
 Brasil precisa ter uma lei p controlar a população qto mais cedo (tipo: no máximo uns 4 filhos) Porque uma hora não vai daaaa;negativo
 A Fátima cada dia levando pessoas q são preconceituosas vamos analisar q a gente está demaisando pro programa né?;negativo
 coisa mais linda! Emocionada com esse tema de hj... Mãe é mãe!;positivo
 Coloca as frases do filho do Antunes,  aamei!!!;positivo
 com quem acabou cm minha felicidade nas manhãs;negativo
 creio eu, que os negros tem preconceito com eles mesmo ?;neutro
Dúvida, chamar alguém de ""meu preto"" ou ""meu nego"",é racismo?";neutro
 de hj assunto polêmico hehehe #quandoelaémaisvelha;neutro
 Demais esse libanês violinista!;positivo
E até hoje minha família não sabe. Pois ambos eram ""senhores de respeito"". Sinto ódio deles";negativo
 espero que as coisas começam a melhorar de verdade;positivo
 essa chata da sandiléia;negativo
 essa música ❤;positivo
 Esse cara é o melhor . Porquep que poesia 👏👏👏👏👏👏👏👏👏👏.Braulho tiro onda;positivo
 esse cara aee realmente mnw a tua mae nao te ensinou o q e ser homem...se tu lavar louça ou limpar ksa , vai te fazer menos homem?;negativo
 Esse Polícial merece Muito Respeito e parabéns;positivo
 Esse programa está lindo!  Derramando lágrimas aqui!  Bjus;positivo
Esse senhor arrasou "" africano virou negro quando passou a ser escravizado"".Negro tem significado pejorativo ruim em todos idiomas";neutro
 estava pensando em alguem para presidente até que vi essa tag :);positivo
 eu também me apaixonei com 13 anos kk;positivo
 Fátima é terrível! O cara não falou nada quando foi falar ela cortou!Pesa ouvir suas palavras de crítica!;negativo
 Fátima benado;neutro
 Fátima Bernardes não sabe o que é um fardo de arroz????????????;negativo
 Fátima pede pro tiago mostrar a fita ...;neutro
 Fátima vai falar sobre pessoas que não conseguem demostrar sentimentos, podia ter citado meu nome como exemplo;neutro
 Fátima, vendo ele falar, a gente percebe como o ensino dentro de casa ajuda no desenvolvimento do homem. A mãe ensinou ele assim.;positivo
 falo o que penso e digo não quer saber não pergunte. Falo e falo demais as vezes.;negativo
 família linda demais;positivo
